ChangeID,Version,Change,Reason,Date
CHG-001,v0.8,권한 구조 정리,운영 단순화,2026-07
CHG-002,v1.0,쿠폰 정책 추가,등급 운영,2026-07
CHG-003,v1.2,직원 권한 최소화,현장 업무 중심,2026-07
CHG-004,v1.4,업종 변경 시 재승인,신뢰성 강화,2026-07
CHG-005,v1.5,Human Happiness Test 추가,사용자 경험 강화,2026-07
CHG-006,v2.0,프로젝트명 변경: 남포 GoGo 청사진,브랜드 통일,2026-07
CHG-007,v2.0,26개 문서 및 CSV 체계 확정,표준화,2026-07
CHG-008,v2.1,Flutter MVP 홈 화면 및 하단 4개 탭 내비게이션 뼈대 구현,화면 테스트 레이아웃 제공,2026-07-14
CHG-009,v2.2,FastAPI CORS 허용 및 Flutter 앱에 API 연동 및 인터넷 권한 반영,FastAPI 헬스체크 API 연동 및 오프라인 폴백 처리 완성,2026-07-14
CHG-010,v2.3,FastAPI 회원가입/로그인 API(Access 및 Refresh 토큰) 구축 및 Flutter Secure Storage 활용 인증 흐름 완성,MVP 회원 인증 시스템 및 오프라인 폴백 로그인 구현 완료,2026-07-14
CHG-011,v2.4,FastAPI 매장/장소 관리 stores 테이블 및 API 4종 구축 및 Flutter 탐색 탭 연동 완성,MVP 장소 조회 및 카테고리 필터링/검색 기능 구현 완료,2026-07-14
CHG-012,v2.5,FastAPI 미션 관리 missions 테이블 및 API 3종 구축 및 Flutter 미션 탭 연동 완성,MVP 미션 조회 및 타입별(GPS/QR/사진) 모의 인증 기능 구현 완료,2026-07-14
CHG-013,v2.6,FastAPI 사용자 미션 user_missions 테이블 및 QR verify API 구축 및 mobile_scanner 연동 완성,MVP QR 미션 스캔 및 탄성 팝업 포인트 획득 애니메이션 구현 완료,2026-07-14
CHG-014,v2.7,FastAPI 포인트/리워드 point_histories 테이블 및 API 4종 구축 및 Flutter 포인트 이력 화면 완성,MVP 포인트 적립/사용 거래명세 조회 및 프로필 실시간 바인딩 구현 완료,2026-07-14
CHG-015,v2.8,FastAPI 쿠폰 coupons 및 user_coupons 테이블 구축 및 API 4종 구현 완료,MVP 포인트 기반 쿠폰 교환소 상점 및 바코드 사용 팝업 내 쿠폰함 화면 완성,2026-07-14
CHG-016,v2.9,FastAPI 예약 store_reservations 테이블 및 API 4종 구축 완료,MVP 매장 예약 신청 바텀시트 및 예약 조회/취소 티켓 상세 화면 완성,2026-07-14
CHG-017,v3.0,FastAPI 리뷰 reviews 및 review_images 테이블 구축 및 API 5종 완료,MVP 매장 상세 방문자 평점/후기 목록 렌더링 및 수정/삭제 내 리뷰함 화면 완성,2026-07-14
CHG-018,v3.1,FastAPI/Flutter Google Maps MVP 지도 탭 추가 및 외부 길찾기 네비게이션 연동 완성,Geolocator 기반 위치 추적 및 카테고리 분기 마커 렌더링,2026-07-14
CHG-019,v4.0,FastAPI 관리자 전용 /admin APIs 13종 및 감사 로그 admin_audit_logs 구조 탑재,MVP 관리자 대시보드 통계 지표 및 정지 회원 관리 감사 타임라인 화면 완성,2026-07-14
CHG-020,v5.0,FastAPI AI 코스 추천 user_recommendations 및 items 테이블 구축 및 API 4종 완료,MVP 여행 조건 입력 및 장소 시퀀스/총 시간/추천 사유 노출 결과/저장 화면 완성,2026-07-14
CHG-021,v6.0,FastAPI/Flutter FCM 푸시 알림 notification_tokens 및 preferences 스키마 설계 및 백엔드 APIs 8종 완성,MVP Foreground/Background/Terminated 수신 수집 및 권한 대응/인앱 알림 센터/설정 제어 UI 완성,2026-07-15
CHG-022,v7.0,FastAPI/Flutter 다국어(Localization) MVP 4개국어(ko/en/ja/zh) ARB 템플릿 설계 및 백엔드 APIs 4종 완성,앱 최초 부팅 시 기기 언어 감지 및 캐싱/전환 프로바이더 설정/상세 장소 다국어 응답 연동 완료,2026-07-15
CHG-022-COMPILE-FIX,v7.1,Flutter 다국어 상위 생성자 타입 Object 픽스 및 미사용 변수/임포트/activeColor 경고 안전 제거 완료,하위 app_localizations 자동 생성 4개 파일 super 생성자 인자 String/Locale 정합성 컴파일 버그 해소,2026-07-15
CHG-022-GEN-L10N-NORMALIZE,v7.2,Flutter 공식 gen_l10n 물리 파일 컴파일 정상화 및 app_zh_Hans.arb 표준 분기 기입 완료,Object 우회 생성자 제거 및 Locale 타입 안전성 100% 복구/l10n.yaml 및 pubspec.yaml 복원 완료,2026-07-15
